epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.39603960514068604,1.9160157442092896,1e-04,0.4097560942173004,0.3326732814311981,0.5753968358039856,0.9429008364677429,0.6643356680870056,0.3769841194152832
1,0.4386138617992401,1.9292690753936768,1e-04,0.45649582147598267,0.37920790910720825,0.6190476417541504,0.870330810546875,0.6573033928871155,0.4642857015132904
2,0.4386138617992401,1.4585224390029907,1e-04,0.4402894973754883,0.36138615012168884,0.64682537317276,0.8522162437438965,0.6733668446540833,0.5317460298538208
3,0.4029702842235565,1.1345388889312744,1e-04,0.4246079623699188,0.3485148549079895,0.670634925365448,0.8229864239692688,0.6909090876579285,0.60317462682724
4,0.4732673168182373,1.177809238433838,1e-04,0.48231130838394165,0.40495049953460693,0.64682537317276,0.8549911379814148,0.651583731174469,0.5714285969734192
5,0.4366336762905121,1.4092403650283813,1e-04,0.45949214696884155,0.3762376308441162,0.6309523582458496,0.8867668509483337,0.6547085046768188,0.579365074634552
6,0.4653465449810028,0.9957337379455566,1e-04,0.48783454298973083,0.39702969789505005,0.6269841194152832,0.8774805068969727,0.642241358757019,0.591269850730896
7,0.46930691599845886,1.2573906183242798,1e-04,0.4883148968219757,0.3930692970752716,0.6230158805847168,0.9051821231842041,0.6651162505149841,0.567460298538208
8,0.4534653425216675,1.0026214122772217,3e-05,0.47087377309799194,0.3841584026813507,0.5992063283920288,0.9204572439193726,0.6380090713500977,0.5595238208770752
9,0.4277227818965912,1.171581745147705,3e-05,0.44498777389526367,0.36039602756500244,0.5992063283920288,0.9197396636009216,0.6327433586120605,0.567460298538208
10,0.498019814491272,0.8119745850563049,3e-05,0.5242347121238708,0.40693068504333496,0.6111111044883728,0.922016978263855,0.6299559473991394,0.567460298538208
11,0.4663366377353668,0.8643731474876404,3e-05,0.494923859834671,0.3861386179924011,0.5952380895614624,0.9293250441551208,0.6367713212966919,0.5634920597076416
