epoch,accuracy,loss,lr,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.36138615012168884,1.5499818325042725,1e-04,0.3576437532901764,0.2524752616882324,0.7301587462425232,0.8928770422935486,0.7096773982048035,0.0873015895485878
1,0.4099009931087494,2.14109206199646,1e-04,0.4185733497142792,0.30792078375816345,0.0476190485060215,1.623297095298767,0.0,0.0
2,0.35148516297340393,1.5207685232162476,1e-04,0.3491620123386383,0.24752475321292877,0.7301587462425232,0.821071207523346,0.7330677509307861,0.7301587462425232
3,0.35247525572776794,1.5424885749816895,1e-04,0.35209235548973083,0.2415841519832611,0.7301587462425232,0.812439501285553,0.7301587462425232,0.7301587462425232
4,0.37029704451560974,1.9657262563705444,1e-04,0.3831908702850342,0.2663366198539734,0.7301587462425232,0.7195984721183777,0.7301587462425232,0.7301587462425232
5,0.37821781635284424,2.4009923934936523,1e-04,0.3810848295688629,0.27128714323043823,0.7301587462425232,0.6949182152748108,0.7301587462425232,0.7301587462425232
6,0.3851485252380371,1.4598616361618042,1e-04,0.39945653080940247,0.29108911752700806,0.7301587462425232,0.8778897523880005,0.0,0.0
7,0.3376237750053406,1.6708787679672241,1e-04,0.3554633557796478,0.25445544719696045,0.7301587462425232,0.9878600239753723,0.0,0.0
8,0.35148516297340393,1.628669261932373,1e-04,0.3544827699661255,0.25445544719696045,0.2539682686328888,1.0911825895309448,0.0,0.0
9,0.3475247621536255,1.3862078189849854,1e-04,0.36512261629104614,0.2653465270996094,0.2539682686328888,1.3104119300842285,0.0,0.0
10,0.3564356565475464,1.5189458131790161,3e-05,0.36685553193092346,0.2564356327056885,0.2380952388048172,1.1905102729797363,0.0,0.0
11,0.36138615012168884,1.5750823020935059,3e-05,0.3571428656578064,0.24752475321292877,0.289682537317276,1.067096471786499,0.0,0.0
12,0.38019803166389465,1.812622308731079,3e-05,0.38365650177001953,0.2742574214935303,0.2460317462682724,1.1409180164337158,0.0,0.0
13,0.31683167815208435,1.6132416725158691,3e-05,0.31564244627952576,0.2237623780965805,0.01984127052128315,1.2303690910339355,0.0,0.0
